Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Буржуй,кафе,Быстрое питание,"улица Маршала Жукова, 18",1 этаж,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,2.4,22,83902344542,83902222484,,,,,,,,,,,,,,,53.723985,91.461913,https://2gis.com/firm/9711414977496231
Aura,кафе,Кафе,"Итыгина, 26д",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+07:00,5.0,1,89135418343,,,,,,,,,,,,,,,,53.722734,91.405713,https://2gis.com/firm/70000001077761855
Чайхана №1 у Азиз,кафе,Кафе,"улица Катанова, 12 ряд 7",7 ряд; около Администрации рынка; напротив фонтана,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (зимний период: пн-вс 9:00-17:00),+07:00,5.0,16,89039170774,,,,,,,https://vk.com/id529035593,https://wa.me/79039170774,,,,,,,,53.729456,91.472358,https://2gis.com/firm/9711414977575582
Rebro,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"улица Мира, 002",,655153,Южный промузел,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.4,8,89607770999,,,,,,,,,,,,,,,,53.799603,91.351464,https://2gis.com/firm/70000001035090101
Городок,кафе,Банкетные залы,"Некрасова, 24",1 этаж,655001,1-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00 (по предварительной записи),+07:00,4.3,25,89133500009,89610948338,,,,,,https://vk.com/gorodok_banquetinghall,https://wa.me/79133500009,,,viber://chat/?number=79133500009,,https://t.me/+79133500009,,,53.729372,91.421426,https://2gis.com/firm/9711414977495776
Копту,кафе,Кафе,"Богдана Хмельницкого, 50",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,,,89130530017 (прием заказов),,,,,,,,,,,,,,,,53.728195,91.459896,https://2gis.com/firm/70000001077334981
Kyoto,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"улица Юбилейная, 14",,655158,Искожевский квартал,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,1.9,23,83902260036,89024670036,,,,http://cafekyoto.ru,,https://vk.com/kyoto19,,,,,,,,,53.826392,91.329035,https://2gis.com/firm/70000001068997879
Хинкальная,,Кафе,"Некрасова, 31а",1 этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,2.9,62,83902322666,,,,,http://70000001065303079.2gis.biz,,,,,,,,,,,53.724938,91.421715,https://2gis.com/firm/70000001065303080
Кафе-парк,,Кафе,"улица Торговая, 3",3 этаж,655010,2-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.3,36,89235981000,,,,,,,,https://wa.me/79235981000,,,viber://chat/?number=79235981000,,,,,53.742815,91.436979,https://2gis.com/firm/70000001075215525
Вместе в тесте,,Кафе,"улица Торосова, 9",цокольный этаж,655016,9-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,,+07:00,,,89130574927,,,,,,,,https://wa.me/79130574927,,,,,,,,53.73801,91.419424,https://2gis.com/firm/70000001080543832
Черногор,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"проспект Космонавтов, 39а",2 этаж,655158,Майский м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+07:00,3.1,13,89134447171,,,,,,,,https://wa.me/79134447171,,,,,,,,53.832698,91.318961,https://2gis.com/firm/70000001017527676
Chloe,кафе-кондитерская,Кондитерские изделия; Кофейни; Кафе-кондитерские,"улица Вяткина, 23",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,4.4,182,83902227400,89235929526,,,,,,,https://wa.me/79235929526,,,viber://chat/?number=79235929526,,,,,53.721793,91.447488,https://2gis.com/firm/70000001042748260
Хочу хинкали и Фо бо,кафе,Кафе,"Энергетиков, 30",,655153,Южный промузел,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+07:00,5.0,1,,,,,,,,,,,,,,,,,53.818611,91.355146,https://2gis.com/firm/70000001079900926
Камелот,кафе,Кафе; Доставка готовых блюд,"улица Катанова, 12 ряд 4",4 ряд; 1 этаж,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-17:00; Вс: 08:00-17:00,+07:00,3.5,6,89628008889,,,,,,,,https://wa.me/79059714531,https://wa.me/79628008889,,,,,,,53.729045,91.473726,https://2gis.com/firm/9711414977552374
Роксана,центр восточной кухни,Кафе,"улица Катанова, 11",1 этаж,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,4.4,12,89230202091,89388961062,,,,,,,https://wa.me/79230202091,https://wa.me/79388961062,,viber://chat/?number=79230202091,,https://t.me/+79230202091,,,53.722677,91.471285,https://2gis.com/firm/70000001019176533
Чабрец,кафе,Кафе,"улица Пушкина, 28а ст1",,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+07:00,1.0,1,83902306411,,,,,,,https://vk.com/cafechabrets,,,,,,,,,53.720132,91.474476,https://2gis.com/firm/70000001080244282
Лидер,кафе-бар,Кафе; Банкетные залы; Доставка готовых блюд,"улица Народная, 7д",цокольный этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,4.2,18,83913255515,89527497071,,,,,,https://vk.com/kafe_lider,,,,,,,,,53.691768,91.683459,https://2gis.com/firm/70000001017372880
Восток,кафе,Кафе,"улица Тараса Шевченко, 59",0 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,3.4,10,89069525777,,,,,,,,,,,,,,,,53.719177,91.457681,https://2gis.com/firm/9711414977547847
Ручная лепка,пельменная,Кафе; Доставка готовых блюд,"улица Советская, 150",1 этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+07:00,3.9,48,89235051919,,,,,,,,,,,,,,,,53.717432,91.405736,https://2gis.com/firm/70000001041764170
Анзас,кафе,Кафе,"улица Вокзальная, 7а",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,,+07:00,,,83902226364,83902225460,,,,http://www.anzas.ru,,https://vk.com/id227477212,,,,,,,,,53.715848,91.445667,https://2gis.com/firm/70000001065250304
Апшерон,кафе,Кафе,"Хакасская, 55",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,2.8,12,89992238110,,,,,,,,https://wa.me/79992238110,,,viber://chat/?number=79992238110,,,,,53.720894,91.456829,https://2gis.com/firm/9711414977547942
Леон,закусочная,Кафе,"улица Советская, 49",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+07:00,4.3,3,89095273015,,,,,,,,https://wa.me/79095273015,,,,,,,,53.719788,91.434506,https://2gis.com/firm/9711414977564687
Forelle,кафе,Кафе,"Надежды Крупской, 91а",,662606,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.8,73,89130332777,,,,,,,https://vk.com/forelle24,,,,,,,,,53.697673,91.67691,https://2gis.com/firm/70000001060500495
Вкус востока,кафе,Кафе,"Комарова, 2а",,655010,2-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (нерабочие дни: четное вс месяца),+07:00,3.6,16,89992237384,89992235166,,,,,,,https://wa.me/79992237384,https://wa.me/79992235166,,,,,,,53.737426,91.439295,https://2gis.com/firm/70000001033582496
Химик,кофейня,Кофейни,"улица Пушкина, 58",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+07:00,4.4,51,89135413429,,,,,,,https://vk.com/himik_19,https://wa.me/79831965516,,,,,,,,53.718134,91.450192,https://2gis.com/firm/70000001040947805
Кыргызстан,закусочная,Кафе,"улица Катанова, 12 ряд 4",4 ряд,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+07:00,4.8,4,89235996432,89665028669,89130546421,,,,,,https://wa.me/79130546421,,,,,,,,53.729172,91.473622,https://2gis.com/firm/9711414977575561
Минутка,кафе,Столовые; Быстрое питание,"улица Чкалова, 16 к1",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,4.7,14,89509651579,,,,,,,,,,,,,,,,53.721056,91.455051,https://2gis.com/firm/70000001044730756
Блин.com,кафе,Кафе,"Абаканская улица, 44",,662606,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.5,59,89082229206,,,vb@cafe-blin.com,,http://cafe-blin.com,,https://vk.com/public211345153,,,,,,,,,53.697944,91.678037,https://2gis.com/firm/70000001035274001
Делаем Дёнер,стрит-фуд кафе,Быстрое питание; Доставка готовых блюд; Кафе,"Абаканская улица, 58а киоск",,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.7,129,83902260008 (единый номер: пн-вс 10:00-22:00),,,,,http://ddabakan.ru,,https://vk.com/ddener_abakan,,,,,,,,https://youtube.com/channel/UCpJEJe8S8C6dl1v-hUpkAbQ,53.691953,91.666262,https://2gis.com/firm/70000001045059282
Старый замок,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"улица Дзержинского, 11",,655158,Слюдка,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-06:00; Сб: 16:00-06:00; Вс: 16:00-04:00 (служба доставки: вт-вс 12:00-23:00),+07:00,3.3,15,89607757710,,,,,,,https://vk.com/staryyzamokchernogorsk,https://wa.me/79607757710,,,,,https://t.me/staryyzamok,,,53.823697,91.318753,https://2gis.com/firm/70000001034401841
Burger time,бургерная,Быстрое питание; Кафе,"Абаканская улица, 44в ст1",цокольный этаж,662606,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.1,45,89130492168,,,,,,,https://vk.com/time_burger24,,,,,,,,,53.696986,91.676825,https://2gis.com/firm/70000001037931593
Саяны,кафе,Столовые,"Кирова, 77",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00 (летний период: пн-пт 9:00-16:00 ),+07:00,4.9,19,89069527533,,,,,,,,,,,,,,,,53.727558,91.445612,https://2gis.com/firm/9711414977572012
Оазис,кафе восточной и европейской кухни,Кафе,"улица Гагарина, 19а",1 этаж,655002,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,1.8,8,,,,,,,,,,,,,,,,,53.70971,91.432808,https://2gis.com/firm/9711414977559507
Матрешка,кафе,Кафе,"улица Кретова, 18в/1",1 этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-20:00,+07:00,2.4,14,,,,,,,,,,,,,,,,,53.690122,91.683661,https://2gis.com/firm/70000001021229728
Гавань,кафе,Кафе; Банкетные залы,"улица Дзержинского, 22",1-2 этаж,655158,Южный м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,2.3,15,89607775551,83903122958,,,,,,,,,,,,https://t.me/cafe_gavan,,,53.828343,91.314841,https://2gis.com/firm/9711414977502284
Соблазн,кафе,Кафе,,,655001,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,5.0,1,,,,,,,,,,,,,,,,,53.732586,91.405699,https://2gis.com/firm/70000001066774403
Народная пельменная,,Кафе; Кулинарии,"улица Тараса Шевченко, 59",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+07:00,5.0,2,89503079574,,,,,,,,,,,,,,,,53.718999,91.457747,https://2gis.com/firm/70000001077018602
Корчма,кафе,Кафе; Бары,"Архипенко, 33Б",,655670,,,,Алтайский район,Республика Хакасия,Россия,Пт: 20:00-24:00; Сб: 20:00-24:00,+07:00,1.0,1,89835888852,,,,,,,,https://wa.me/79835888852,,,,,,,,53.658405,91.539069,https://2gis.com/firm/70000001062687863
Омар Хайям,кафе восточной кухни,Кафе,"Итыгина, 20г-1",1 этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+07:00,3.0,1,89232102727,,,,,,,,https://wa.me/79232102727,,,,,,,,53.720674,91.403905,https://2gis.com/firm/70000001061242971
Лаванда,кафе,Кафе; Доставка готовых блюд; Пиццерии,"Абаканская улица, 72",1 этаж,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.6,24,89083279094,,,,,,,https://vk.com/cafelavandamin,https://wa.me/79083279094,,,viber://chat/?number=79083279094,,https://t.me/cafelavanda,https://t.me/+79083279094,,53.688609,91.660122,https://2gis.com/firm/70000001033021158
Денди hall,семейное кафе,Кафе,"Абаканская улица, 43Б",2 этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+07:00,3.7,48,89233000124,,,,,,,https://vk.com/dandyhall124,,,,,,,,,53.691331,91.670829,https://2gis.com/firm/70000001061583453
Шашлычная,,Кафе; Доставка готовых блюд,"улица Вяткина, 61 к3",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-24:00,+07:00,2.1,51,83902269200,89024679200,,,,,,,,,,,,,,,53.732415,91.444493,https://2gis.com/firm/9711414977498367
Ах Тигей,кафе,Столовые; Банкетные залы,"улица Карла Маркса, 21",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:30-18:00; Вт: 09:30-18:00; Ср: 09:30-18:00; Чт: 09:30-18:00; Пт: 09:30-18:00; Сб: 10:00-19:00; Вс: 10:00-18:00 (по предварительному звонку: пн-вс),+07:00,2.3,8,89020127474,,,,,,,,https://wa.me/79333339410,https://wa.me/79020127474,,,,,,,53.723426,91.439537,https://2gis.com/firm/70000001057373824
Vintage,кафе,Кафе; Рестораны,"Инициативная, 121",,655154,Майский м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+07:00,2.7,16,89832789363,,,,,,,,,,,,,,,,53.839583,91.311526,https://2gis.com/firm/70000001007326642
Восток,закусочная,Кафе,"улица Катанова, 12 ряд 7",7 ряд,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 08:30-18:00; Вс: 08:30-18:00,+07:00,5.0,4,,,,,,,,,,,,,,,,,53.729191,91.472552,https://2gis.com/firm/70000001048367836
Огонек,,Кафе,"улица Мира, 007а",,655153,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,"Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00 (зимний период: пн-пт 9:00-19:00, сб 9:00-14:00)",+07:00,5.0,5,89061908888,,,,,,,,https://wa.me/79061908888,,,viber://chat/?number=79061908888,,https://t.me/+79061908888,,,53.805203,91.333503,https://2gis.com/firm/9711415978111802
Север,,Кафе,"Аскизская улица, 248",,655014,10-й жилой район,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,5.0,1,89509616040,,,,,,,,,,,,,,,,53.679174,91.366799,https://2gis.com/firm/70000001077759584
Теrrитория Шашлыкоff,,Кафе; Доставка готовых блюд,,напротив автомойки,655152,Искожевский квартал,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+07:00,5.0,18,,,,,,,,https://vk.com/club209712561,https://wa.me/79607566557,,,viber://chat/?number=79607566557,,,,,53.823607,91.344023,https://2gis.com/firm/70000001078709029
Дальнобойщик,кафе,Кафе,,,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-17:30; Вт: 09:00-17:30; Ср: 09:00-17:30; Чт: 09:00-17:30; Пт: 09:00-17:30; Сб: 09:00-17:30; Вс: 09:00-17:30,+07:00,5.0,2,89628434154,,,,,,,,,,,,,,,,53.72492,91.378214,https://2gis.com/firm/70000001033963019
Столовушка Петрушка,,Рюмочные; Кафе,"улица Кретова, 11а",,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-24:00,+07:00,3.2,14,89831603979,,,,,,,,https://wa.me/79831603979,,,viber://chat/?number=79831603979,,,,,53.69023,91.682143,https://2gis.com/firm/70000001069180376
Любимое,кафе-бар,Кафе,"Промышленная, 31",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00,+07:00,4.6,8,,,,,,,,,,,,,,,,,53.717025,91.45093,https://2gis.com/firm/70000001017235333
Калинка-малинка,кафе,Кафе; Доставка готовых блюд,"улица Юбилейная, 11а к1",,655158,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00; Сб: 08:00-16:00; Вс: 08:00-16:00,+07:00,3.4,10,89617434701,89628004847,89233949833,,,,,https://vk.com/kalinkamalinka19,https://wa.me/79628004847,,,viber://chat/?number=79628004847,,,,,53.826915,91.327869,https://2gis.com/firm/70000001032245657
Bbfries,кафе,Быстрое питание,"улица Щетинкина, 63 киоск",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,3.8,26,89130527384,,,,,,,,https://wa.me/79130527384,,,,,,,,53.729878,91.441209,https://2gis.com/firm/70000001055520976
Комбат,кафе,Доставка готовых блюд; Столовые,"Пирятинская, 27",1 этаж,655011,МПС м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-17:00; Вс: 08:00-17:00,+07:00,4.2,5,89509651495,83902273459,89618992151,,,,,,https://wa.me/79509651495,https://wa.me/79618992151,,,,,,,53.699304,91.392355,https://2gis.com/firm/9711414977502492
Central park,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"улица Чертыгашева, 89",59Н помещение; 1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.4,40,89954328714,,,,,,,https://vk.com/public210116469,https://wa.me/79134488309,,,,,,,,53.723702,91.43391,https://2gis.com/firm/70000001059358917
Весна,кафе,Кафе,"улица Ленина, 74",цокольный этаж,655650,,,,Алтайский район,Республика Хакасия,Россия,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+07:00,2.3,3,,,,,,,,,,,,,,,,,53.598808,91.379916,https://2gis.com/firm/70000001063533294
Ислом халол,кафе,Кафе,"Итыгина, 22 к11",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Сб: 07:00-20:00; Вс: 07:00-20:00,+07:00,5.0,4,89233937080,,,,,,,,,,,,,,,,53.722469,91.403068,https://2gis.com/firm/9711414977558492
Военторг,кафе,Столовые,"Пирятинская, 38а ст44",1 этаж,655011,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,1.0,1,89509651495,89016000810,,,,,,,https://wa.me/79016000810,,,,,,,,53.700831,91.392726,https://2gis.com/firm/70000001027944634
Экспресс,кафе,Кафе,"улица Вокзальная, 17",1 этаж; правое крыло,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 06:00-22:00; Вс: 06:00-22:00,+07:00,,,89503034344,,,,,,,,,,,,,,,,53.715096,91.440954,https://2gis.com/firm/70000001032913967
