Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Паруса на крыше,панорамный ресторан,Рестораны; Банкетные залы; Караоке-залы; Доставка готовых блюд; Бары,"улица Льва Толстого, 9",10 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-06:00; Сб: 09:00-06:00; Вс: 09:00-23:00,+03:00,4.5,1729,88129911090,,,info@parusabanket.ru,,http://nakryshe.parusa-spb.ru,,,,https://vk.com/parusa_nakryshe,https://wa.me/79219911090,,,viber://chat/?number=79219911090,,https://t.me/parusanakrishe,,,59.965318,30.31563,https://2gis.com/firm/70000001007338961
Пышки-вприпрыжку,кафе,Быстрое питание,"1-я Советская улица, 12",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.5,151,89119251712,,,pyshki_vpripryzhku@maxbier.ru,,http://вприпрыжку-пышка.рф,,,,https://vk.com/vpripryzhkupyshka,,,,,,https://t.me/vpripryzhku_pyshka,,,59.931052,30.364881,https://2gis.com/firm/70000001063957847
La Vue,панорамный ресторан,Рестораны,"Пироговская набережная, 5",10 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,3.1,108,88126330646,,,lavue@hotel-spb.ru,banketcitytel@yandex.ru,http://la-vue.ru,,,,https://vk.com/lavuespb,,,,,,,,,59.956771,30.341659,https://2gis.com/firm/70000001028424448
Этаж 41,гастрономический ресторан,Рестораны; Бары; Банкетные залы; Караоке-залы; Доставка готовых блюд,"площадь Конституции, 3",41 этаж,196247,Новоизмайловское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,"Пн: 11:30-23:30; Вт: 11:30-23:30; Ср: 11:30-23:30; Чт: 11:30-23:30; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:30-23:30 (до последнего гостя: пт, сб)",+03:00,4.2,291,88126152453,,,reklama@41floor.com,,http://wellcompany.group,,,,https://vk.com/41floor,https://wa.me/79219555559,,,,,https://t.me/+79219374141,,,59.850688,30.30467,https://2gis.com/firm/70000001020531324
Barashki,панорамный ресторан с видовой террасой,Рестораны; Караоке-залы,"Ефимова, 2",5 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-23:00,+03:00,4.1,262,88126607962,,,barashrest@gmail.com,,http://barashkispb.ru,,,,https://vk.com/barashki.rest,https://wa.me/79219036699,,,,,,,,59.926518,30.320506,https://2gis.com/firm/70000001007553890
Чайхона,ресторан,Рестораны; Бары; Доставка готовых блюд,"Невский проспект, 22",2 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,441,89119223022,,,info@chaihona-nevskiy.ru,,http://chaihonaspb.ru,,,,https://vk.com/chaihona_spb,,,,,,https://t.me/chaihona_nevskiy22,,,59.935976,30.322912,https://2gis.com/firm/70000001061426336
Пахвала,чайхана,Рестораны; Доставка готовых блюд; Суши-бары; Караоке-залы; Банкетные залы,"Петергофское шоссе, 51",3 этаж,198322,Южно-Приморский,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-23:00,+03:00,4.4,254,88123398878,,,chaihana@pahvala.ru,,http://pahvala.ru,,,,https://vk.com/pahvala_spb,,,,,,,,,59.849401,30.144455,https://2gis.com/firm/70000001018020733
L`eclat,ресторан,Рестораны; Бары,"улица Пестеля, 1/12",цокольный этаж; вход через отель Оболенский,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,"Пн: 07:00-11:00, 12:00-23:00; Вт: 07:00-11:00, 12:00-23:00; Ср: 07:00-11:00, 12:00-23:00; Чт: 07:00-11:00, 12:00-23:00; Пт: 07:00-11:00, 12:00-23:00; Сб: 07:00-11:00, 12:00-23:00; Вс: 07:00-11:00, 12:00-23:00",+03:00,4.6,21,89111984545,,,info@leclat-restbar.ru,,http://leclat-restbar.ru,,,,https://vk.com/leclat_rest,https://wa.me/79111984545,,,,,,,,59.942106,30.339168,https://2gis.com/firm/70000001063141572
Утка и Селезень,ресторан,Рестораны,"Санкт-Петербургский проспект, 34",1 этаж,198510,Петергоф г.,Петродворцовый район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (до последнего гостя: пн-вс),+03:00,4.5,65,88123192699,,,fb@new-peterhof.com,,http://duck-drake.com,,,,https://vk.com/duck_and_drake,https://wa.me/79650359052,,,,,,,,59.879062,29.911085,https://2gis.com/firm/5348552841058327
Коза Дереза Море,сеть ресторанов,Рестораны; Доставка готовых блюд; Бары,"Приморский проспект, 72",1 этаж,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.2,210,88124568080,,,service@kozaderezapub.ru,,http://koza.group,,,,https://vk.com/kozagrouprest,https://wa.me/79816961665,,,,,,,,59.980502,30.210362,https://2gis.com/firm/70000001037292057
На высоте,панорамный ресторан на крыше с банным комплексом,Бани / Сауны; Рестораны,"Матроса Железняка, 57 лит А",20 этаж; 4 парадная; вход со двора,197343,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+03:00,4.1,28,89660343238,,,dmisharin@yandex.ru,,http://navisote-spb.ru,,,,https://vk.com/navisote_spb,https://wa.me/79006374737,https://wa.me/79660343238,,,,https://t.me/+79660343238,,,59.999849,30.315061,https://2gis.com/firm/70000001027522128
Commode,бар-ресторан,Бары; Караоке-залы; Банкетные залы; Рестораны,"Невский проспект, 47",1-2 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 19:00-05:00; Вт: 19:00-05:00; Ср: 19:00-05:00; Чт: 19:00-05:00; Пт: 19:00-07:00; Сб: 19:00-05:00; Вс: 19:00-05:00,+03:00,4.3,843,88124164848,,,,,http://commode.club,,,,https://vk.com/commodeclub,,,,,,https://t.me/commodeclub,,,59.932556,30.347396,https://2gis.com/firm/70000001021049341
The OFFICE Nargilia Lounge,лаундж-бар,Центры паровых коктейлей; Бары; Антикафе,"Рубинштейна, 30 лит Б",4 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-06:00; Сб: 14:00-06:00; Вс: 14:00-02:00,+03:00,4.8,252,88129807646,,,,,http://theofficespb.ru/,,,,https://vk.com/theofficenargilia,,,,,,,,,59.928559,30.345079,https://2gis.com/firm/5348553838873681
Слой,кафе-пекарня,Пекарни; Кафе; Кондитерские изделия; Кофейни,"Маяковского, 3",1 этаж,191025,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:58-21:03; Вт: 07:58-21:03; Ср: 07:58-21:03; Чт: 07:58-21:03; Пт: 07:58-21:03; Сб: 07:58-21:03; Вс: 07:58-21:03,+03:00,4.5,146,88129812255,,,,,http://sloy.pro,,,,,,,,,,https://t.me/sloy_bakery,,,59.933837,30.35489,https://2gis.com/firm/70000001055474886
Aster,городское кафе,Пекарни; Кафе,"Маяковского, 23",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,198,89215780023,,,,,http://astercafe.ru,,,,,https://wa.me/79215780023,,,,,https://t.me/hello_aster,,,59.939668,30.355489,https://2gis.com/firm/70000001054727024
Italia,семейное кафе,Кафе; Доставка готовых блюд,"проспект Бакунина, 5",1 этаж,191024,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+03:00,4.2,528,88129056474,89219056474,,,,,,,,https://vk.com/club14834975,,,,,,,,,59.929845,30.374958,https://2gis.com/firm/5348552838596842
Хачапури и вино,кафе грузинской кухни,Кафе; Доставка готовых блюд,"улица Малая Конюшенная, 9",1 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-01:00; Сб: 11:30-01:00; Вс: 11:30-23:00,+03:00,3.8,713,88129028000 (служба бронирования),,,,,http://hachapuriivino.ru,,,,https://vk.com/hachapuriivino,,,,,,,,,59.9363,30.324632,https://2gis.com/firm/70000001030457181
У Ларисы,кафе-бар,Кафе; Бары; Доставка готовых блюд; Рюмочные,"Рубинштейна, 29/28",цокольный этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.3,306,88129034490,,,,,http://larisochnaya.ru,,,,,,,,,,,,,59.926943,30.342561,https://2gis.com/firm/70000001020796815
"Федя, дичь!",аутентичный ларек шашлычная,Кафе; Бары,"улица Садовая, 7-9-11",1 этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,4.5,215,89219851112,,,,,,,,,,,,,,,,,,59.935557,30.335523,https://2gis.com/firm/70000001061503211
Stage stand up club,бар,Стендап-клубы; Бары; Пиццерии; Кафе,"Восстания, 24а",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 16:00-24:00; Вт: 16:00-24:00; Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-24:00,+03:00,4.4,118,89111236288,,,,,http://stagestandup.ru,,,,https://vk.com/stagestandup,,,,,,https://t.me/stagestandup,https://t.me/+79111236288,,59.938134,30.358923,https://2gis.com/firm/70000001030633445
Хачапури и вино,кафе грузинской кухни,Рестораны; Кафе; Доставка готовых блюд,"Большой проспект П.С., 74",1 этаж,197136,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-01:00; Сб: 11:30-01:00; Вс: 11:30-23:00,+03:00,3.2,257,88129028000 (служба бронирования),,,,,http://hachapuriivino.ru,,,,https://vk.com/hachapuriivino,,,,,,,,,59.96333,30.307672,https://2gis.com/firm/70000001045040199
Мидийное место,ресторан морепродуктов,Кафе,"Невский проспект, 18",1 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.2,119,89219270111,,,,,http://midiynoe-mesto.ru,,,,https://vk.com/midiynoemesto,,,,,,,,,59.936486,30.318243,https://2gis.com/firm/70000001067303521
Уе!,паб,Бары; Кафе,"Жуковского, 28",цокольный этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 18:00-02:00; Вт: 18:00-02:00; Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 18:00-05:00; Сб: 16:00-05:00; Вс: 16:00-02:00,+03:00,4.8,904,89219053060,,,,,http://yebar.ru,,,,https://vk.com/yebarru,https://wa.me/79219053060,,,,,,,,59.936273,30.360045,https://2gis.com/firm/70000001044307131
Ленинградский экспресс,кафе с обслуживанием в виде железной дороги и поездов,Кафе,"улица Салова, 61",2 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.8,188,89817839973,,,,,http://lenexbar.ru,,,,https://vk.com/len_express,https://wa.me/79817839973,,,,,,,,59.884733,30.368131,https://2gis.com/firm/70000001044495748
Квартира 8,ресторан-музей,Рестораны; Бары; Кафе,"Невский проспект, 71",5 этаж; вход в арку,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-23:00; Вт: 13:00-23:00; Ср: 13:00-23:00; Чт: 13:00-23:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-23:00 (по предварительной записи: пн-вс),+03:00,3.5,151,89216517788,,,,,http://kvartira8.com,,,,https://vk.com/kvartira8.rest,https://wa.me/79216517788,,,,,https://t.me/kvartira8_rest,,,59.931164,30.354728,https://2gis.com/firm/70000001024383691
Skal! Наследие Севера,бар-музей,Бары; Кафе,"Правды, 12",цокольный этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-03:00; Сб: 14:00-03:00; Вс: 14:00-02:00,+03:00,4.6,205,89112305324,,,,,http://skalbar.ru,,,,https://vk.com/skalspb,,,,,,,,,59.923342,30.34263,https://2gis.com/firm/70000001052054595
Цветочки,коктейль-бар,Бары; Кафе; Алкогольные напитки,"улица Некрасова, 17",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-02:00,+03:00,4.6,107,88129420754,,,,,,,,,,,,,,,https://t.me/perfectbarsteam,,,59.938702,30.356739,https://2gis.com/firm/5348552841570632
Branch garage,бар,Бары; Доставка готовых блюд; Кафе,"Печатника Григорьева, 12",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,3.7,165,89117236666,,,,,,,,,,https://wa.me/79117236666,,,,,https://t.me/+79117236666,,,59.918981,30.351266,https://2gis.com/firm/70000001044305536
Полторы комнаты,бар,Бары; Кафе,"Маяковского, 34/4",цокольный этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 18:00-02:00; Вт: 18:00-02:00; Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 18:00-03:00; Сб: 18:00-03:00; Вс: 18:00-02:00,+03:00,4.7,106,89219418207,,,,,,,,,,,,,,,https://t.me/+79219418207,https://t.me/perfectbarsteam,https://youtube.com/perfectbarsteam,59.940082,30.355041,https://2gis.com/firm/70000001006656112
Oversize pizza club,пиццерия,Пиццерии; Доставка готовых блюд; Кафе; Быстрое питание,"Гражданская, 13-15",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.3,312,89219006966,,,,,http://oversize.pizza,,,https://twitter.com/oversize_pizza,https://vk.com/oversize.pizza,,,,,,,,,59.928514,30.31225,https://2gis.com/firm/70000001031107469
Футура,современное локальное бистро с сезонными продуктами,Кафе; Доставка готовых блюд,"набережная реки Карповки, 5 к36",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,471,89995344509 (единый номер: пн-вс 9:00-23:00),,,,,,,,,,,,,,,https://t.me/futurabistro,,,59.969186,30.317158,https://2gis.com/firm/70000001037818543
Такояки,стритфуд-кафе японской кухни,Быстрое питание; Доставка готовых блюд; Кафе,"переулок Крылова, 2",,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,4.9,787,89052571828,,,,,http://такояки.рф,,,,https://vk.com/takoyaki,,,,,,,,,59.932751,30.333717,https://2gis.com/firm/70000001021712841
Неканон,бар,Бары; Кафе,"Лиговский проспект, 21Б",цокольный этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-23:00; Вт: 13:00-23:00; Ср: 13:00-23:00; Чт: 13:00-23:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-23:00,+03:00,4.5,281,89657491654,,,,,http://menu.restik.com/nekanon,,,,https://vk.com/barnekanon,,,,,,https://t.me/barnekanon,https://t.me/bar_nekanon,,59.93524,30.363433,https://2gis.com/firm/70000001034991312
У Ларисы,кафе-бар,Рюмочные; Кафе,"Кронверкская, 7",1 этаж,197101,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.5,130,89990444030,,,,,http://larisochnaya.ru,,,,,,,,,,,,,59.95859,30.312748,https://2gis.com/firm/70000001060810479
Хачапури и вино,кафе грузинской кухни,Кафе; Доставка готовых блюд,"Казанская, 29",цокольный этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-01:00; Сб: 11:30-01:00; Вс: 11:30-23:00,+03:00,3.4,234,88129028000 (служба бронирования),,,,,http://hachapuriivino.ru,,,,https://vk.com/hachapuriivino,,,,,,,,,59.929805,30.314166,https://2gis.com/firm/70000001045274392
Малатан,китайский и паназиатский ресторан,Доставка готовых блюд; Быстрое питание; Кафе,"Невский проспект, 128",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,5.0,1559,89119205175,,,,,http://malatanspb.ru,,,,https://vk.com/malatan_spb,https://wa.me/79119205175,,,,,,,,59.931345,30.366953,https://2gis.com/firm/70000001060749771
Co-Op Garage,бар,Бары; Кафе,"Гороховая, 47",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,2.8,211,89650122222,,,,,http://cooperativegarage.com,,,,,,,,,,,,,59.927071,30.322817,https://2gis.com/firm/70000001019736587
У Ларисы,кафе-бар,Кафе; Бары; Доставка готовых блюд; Рюмочные,"Маяковского, 39",цокольный этаж,191123,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.4,79,,,,,,http://larisochnaya.ru,,,,,,,,,,,,,59.942208,30.355653,https://2gis.com/firm/70000001069595862
Саквояж беременной шпионки,кафе-бар,Бары; Доставка готовых блюд; Кафе,"улица Большая Конюшенная, 17",цокольный этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.1,236,89219509516,,,,,http://sakvojagcafe.ru,http://t.me/sakvojagcafe,,,https://vk.com/club412826,https://wa.me/79219509516,,,viber://chat/?number=79219509516,,,,,59.938772,30.323223,https://2gis.com/firm/5348552838564885
Грибоедов,клуб,Ночные клубы; Кафе; Бары,"Воронежская, 2а",1-2 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 14:00-04:00; Вс: 14:00-02:00 (до последнего гостя),+03:00,3.6,87,88129737273,,,,,http://www.griboedovclub.ru,,,,https://vk.com/gribi4,,,,,,https://t.me/griboedovbasement,,,59.919539,30.350644,https://2gis.com/firm/5348552838541828
Мечтатели,гастрономическое кафе,Кафе; Доставка готовых блюд,"набережная реки Фонтанки, 11",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,173,89217613155,,,,,http://thedreamerscafe.ru,,,,https://vk.com/followdreamers,https://wa.me/79217613155,,,,,https://t.me/followdreamers,,,59.936837,30.342848,https://2gis.com/firm/70000001019632134
Bekitzer,израильский стритфуд-бар,Кафе,"набережная Адмиралтейского канала, 2 лит Т",1 этаж,190121,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,272,88129274340,89119274340,,,,http://bekitzernh.ru,,,,,https://wa.me/79119274340,,,,,https://t.me/bekitzer_spb,,,59.92922,30.28755,https://2gis.com/firm/70000001028987432
Чуфальня,китайское кафе,Кафе,"улица Садовая, 28-30 к27",2 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,3.9,337,89650224885,89516759999,,,,http://china-chufalnya.ru,,,,,,,,,,,,,59.928994,30.326748,https://2gis.com/firm/70000001020278708
Jungle,кафе,Кафе; Бары; Доставка готовых блюд,"набережная канала Грибоедова, 18-20",1 этаж,191011,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,181,88129171234,89219171234,,,,http://ko-restaurants.ru/r/jungle,http://junglecafe.ru,,,,,,,,,,,,59.934261,30.327045,https://2gis.com/firm/70000001029158761
Синий Пушкин,"рестобар, созданный Сергеем Шнуровым",Бары; Кафе,"Жуковского, 3",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-06:00; Сб: 16:00-06:00; Вс: 16:00-02:00,+03:00,4.0,156,89818575101,,,,,http://www.spushkin.com,,,,https://vk.com/club19389632,,,,,,,,,59.935867,30.350238,https://2gis.com/firm/5348552839200910
Контакт,бар,Бары; Кафе; Караоке-залы,"Владимирский проспект, 17",2 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-06:00; Вт: 14:00-06:00; Ср: 14:00-06:00; Чт: 14:00-06:00; Пт: 14:00-06:00; Сб: 14:00-06:00; Вс: 14:00-06:00,+03:00,4.0,275,89219518395,88129518395,,,,http://kontaktbar.ru,,,,https://vk.com/kontaktbar,,,,,,https://t.me/kontaktbarspb,,,59.928719,30.347111,https://2gis.com/firm/5348552839972103
Краснодарский парень,бургерная лавка,Быстрое питание; Доставка готовых блюд; Кафе,"Лиговский проспект, 81",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,375,89811070174,,,,,http://saintp.krd-paren.ru/,,,,https://vk.com/krdparen_spb,https://wa.me/79811070174,,,,,https://t.me/+79811070174,,,59.924805,30.356632,https://2gis.com/firm/70000001028138876
Paloma cantina,ресторан,Кафе; Бары,"улица Садовая, 8/7",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.4,150,89811247203,,,,,,,,,,,,,,,,,,59.936988,30.336439,https://2gis.com/firm/70000001034888668
