Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL
F&C,пивной паб,Бары; Кафе; Рестораны,"Новосмоленская набережная, 1 лит Е",1 этаж,199397,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.0,64,88129847172,89626847172,89990416727,Fish.Chips1@yandex.ru,,info2gis.tilda.ws/proxy18?target=https://fcpub.ru/&back=https://2gis.ru/spb/firm/5348553838776392&mode=0,,,,https://vk.com/fishchipsspb,https://wa.me/79626847172,,,,,,,,https://youtube.com/channel/UC17KqPqBuw0HYx0Ibm3TQwQ,59.94995,30.224853,https://2gis.com/firm/5348553838776392
На высоте,панорамный ресторан на крыше с банным комплексом,Бани / Сауны; Рестораны,"Матроса Железняка, 57 лит А",20 этаж; 4 парадная; вход со двора,197343,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+03:00,4.1,28,89660343238,,,dmisharin@yandex.ru,,http://navisote-spb.ru,,,,https://vk.com/navisote_spb,https://wa.me/79006374737,https://wa.me/79660343238,,,,https://t.me/+79660343238,,,,59.999849,30.315061,https://2gis.com/firm/70000001027522128
Avenue 55,,Рестораны; Кафе; Бары; Центры паровых коктейлей,"Московский проспект, 55",1 этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-06:00; Сб: 10:00-06:00; Вс: 10:00-02:00,+03:00,4.6,152,89210433222,,,info@avenue55.ru,,http://avenue55.ru,,,,https://vk.com/avenue55_rest,https://wa.me/79210433222,,,viber://chat/?number=79210433222,,https://t.me/+79210433222,,,,59.910961,30.318069,https://2gis.com/firm/70000001050842768
Гамбит,лаундж-бар,Караоке-залы; Рестораны; Бары; Суши-бары; Организация и проведение праздников; Центры паровых коктейлей,"набережная реки Фонтанки, 112",3 этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-24:00,+03:00,5.0,23,89602740995,,,gambit_spb@mail.ru,,,,,,https://vk.com/gambit_bar,https://wa.me/79602740995,,,,,,,,,59.92041,30.315262,https://2gis.com/firm/70000001079008504
My Asiatique,ресторан азиатской кухни,Рестораны; Доставка готовых блюд; Бары,"Разъезжая, 3",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.5,91,88129000230,,,info@myasiatique.ru,,http://myasiatique.com/,,,,,,,,,,https://t.me/myspicygroup,,,,59.925714,30.34305,https://2gis.com/firm/70000001045598299
Alice Garden,сеть ресторанов,Рестораны; Доставка готовых блюд,"Невский проспект, 25",1 этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.6,131,88123192525,,,service@kozaderezapub.ru,,http://alicegarden.rest,,,,https://vk.com/kozagrouprest,https://wa.me/79816961665,,,,,,,,,59.935287,30.323641,https://2gis.com/firm/70000001058943757
Namaste,ресторан индийской кухни,Рестораны; Кейтеринг; Банкетные залы,"улица Малая Конюшенная, 5",1 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,99,88125706886,,,restorannamaste@mail.ru,,http://namaste.ru.com,,,,,https://wa.me/79219415946,,,,,,,,,59.936972,30.324951,https://2gis.com/firm/70000001007175061
Изба,семейный ресторан русской кухни,Рестораны; Доставка готовых блюд; Бары; Банкетные залы,"улица Садовая, 67",1 этаж; вход с ул. Садовая,190068,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-14:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.8,95,88123106194,89111005414,,cafe67izba@gmail.com,,http://izba-kafe.ru,,,,https://vk.com/izbabar,https://wa.me/79111005414,,,,,,,,,59.921951,30.304245,https://2gis.com/firm/5348553839028861
Утка и Селезень,ресторан,Рестораны,"Санкт-Петербургский проспект, 34",1 этаж,198510,Петергоф г.,Петродворцовый район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (до последнего гостя: пн-вс),+03:00,4.5,65,88123192699,,,fb@new-peterhof.com,,http://duck-drake.com,,,,https://vk.com/duck_and_drake,https://wa.me/79650359052,,,,,,,,,59.879062,29.911085,https://2gis.com/firm/5348552841058327
ТОКИО-CITY,сеть городских ресторанов,Суши-бары; Доставка готовых блюд; Рестораны,"Невский проспект, 71",4 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,3.0,489,88122070742,,,,,http://tokyo-city.ru,,,,https://vk.com/club_tokyocity,,,,,,https://t.me/tokyocity_ru,,,https://youtube.com/channel/ucxwpb1q7cvampm6tuwh2llg,59.93138,30.354791,https://2gis.com/firm/70000001047071973
Settlers,французский ресторан,Рестораны; Доставка готовых блюд; Бары,"улица Наличная, 24 к1 лит А",1 этаж,199406,Гавань,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.8,58,89215665483,,,,,http://settlers.rest,,,,https://vk.com/settlers.rest,https://wa.me/79215665483,,,,,https://t.me/+79215665483,,,,59.940061,30.231751,https://2gis.com/firm/70000001063167268
Gate 7,ресторан,Рестораны,"Стартовая, 8а",1 этаж,196210,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-18:00; Вт: 12:00-18:00; Ср: 12:00-18:00; Чт: 12:00-18:00; Пт: 12:00-18:00,+03:00,3.1,7,89219009177,,,gateseveninfo@gmail.com,,,,,,,https://wa.me/79219009177,,,,,,,,,59.807317,30.314741,https://2gis.com/firm/70000001040104178
Этобар,джаз-бар,Бары; Рестораны; Ночные клубы,"Владимирский проспект, 14",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.5,162,89219042548 (отдел бронирования),,,,,http://jazzspb.com,http://jazzspb.ru,,,https://vk.com/etobar,,,,,,https://t.me/ThisIsBar,,,https://youtube.com/channel/UCnJBEfHwwY9ioc0gugfSeCA,59.929747,30.348439,https://2gis.com/firm/70000001023818927
Pinzeria by bontempi,ресторан,Рестораны; Доставка готовых блюд; Пиццерии,"улица Марата, 2",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.8,239,88125657555 (администратор),89313577229 (администратор),,info@pinzeria.rest,,http://pinzeria.rest,,,,https://vk.com/pinzeria_spb,https://wa.me/79313577229,,,,,https://t.me/pinzeria_spb,,,,59.931229,30.35564,https://2gis.com/firm/70000001054285861
Kwakinn,паб,Бары; Рестораны; Доставка готовых блюд,"улица Звенигородская, 2",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.1,89,88124560515,,,kwakinn@list.ru,,http://t.me/kwakinnpub,,,,https://vk.com/kwakinnpub,,,,,,,,,,59.923097,30.335784,https://2gis.com/firm/70000001006491202
Папа раков,раковарня,Бары; Доставка готовых блюд; Рестораны,"Кушелевская дорога, 3 к1",1 этаж,195220,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-24:00; Вт: 14:00-24:00; Ср: 14:00-24:00; Чт: 14:00-24:00; Пт: 14:00-01:00; Сб: 14:00-01:00; Вс: 14:00-24:00,+03:00,5.0,30,89043319658,,,,,http://paparakov.ru,,,,https://vk.com/paparakov,https://wa.me/79043319658,,,,,https://t.me/paparakov,,,,59.987238,30.36806,https://2gis.com/firm/70000001067301090
Mr.Bo,ресторан,Рестораны; Доставка готовых блюд; Организация и проведение праздников,"Манежный переулок, 2",1 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.6,63,89697112424,,,mrbospb.com@mail.ru,,http://mrbospb.com,,,,,https://wa.me/79697112424,,,,,https://t.me/mrborest,,,,59.943323,30.350679,https://2gis.com/firm/70000001031751992
Finch,караоке-бранч-бар,Рестораны; Бары; Караоке-залы,"улица Некрасова, 14д",,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-06:00; Вт: 13:00-06:00; Ср: 13:00-06:00; Чт: 13:00-06:00; Пт: 13:00-06:00; Сб: 13:00-06:00; Вс: 13:00-06:00,+03:00,4.8,356,88127673318,,,nekrasova14d@ya.ru,,http://finchbar.ru/?utm_source=2gis&utm_medium=site,,,,https://vk.com/finch_barspb,,,,,,https://t.me/+79893465933,,,https://youtube.com/@finch_barspb,59.938975,30.353678,https://2gis.com/firm/70000001061373206
Molly O`Brian Pub,рестопаб,Бары; Кафе; Рестораны,"Ленинский проспект, 87 к1",1 этаж,198330,Юго-Запад,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.6,56,88123643599,,,molly.obrian@molly.su,,info2gis.tilda.ws/proxy18?target=https://mollyobrian.ru/&back=https://go.2gis.com/35xe43&mode=0,,,,https://vk.com/mollies_group,,,,,,,,,https://youtube.com/channel/UC17KqPqBuw0HYx0Ibm3TQwQ,59.855019,30.202325,https://2gis.com/firm/70000001046051065
Дым и Рим,ресторан,Доставка готовых блюд; Пиццерии; Быстрое питание,"Кронверкская набережная, 3а",,197046,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.6,98,,,,,,,,,,,,,,,,,,,,59.953391,30.321677,https://2gis.com/firm/70000001048940002
Italica,ресторан,Рестораны; Бары; Доставка готовых блюд; Пиццерии; Банкетные залы,"набережная канала Грибоедова, 6",1 этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-02:00; Сб: 08:30-02:00; Вс: 08:30-23:00,+03:00,4.1,675,89052101060,89052701080,,italica.restaurant@mail.ru,,http://italica-rest.ru/,,,,https://vk.com/italicarestaurant,https://wa.me/79052101060,https://wa.me/79052701080,,,,https://t.me/+79052101060,https://t.me/italicarest,https://t.me/agcprestocommunity_bot,,59.937698,30.327769,https://2gis.com/firm/70000001044777823
Twiga,клуб,Ночные клубы; Караоке-залы; Бары; Рестораны,"Белградская, 30",,192212,Купчино,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 18:00-06:00; Вт: 18:00-06:00; Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+03:00,4.1,106,89110272121,,,,,http://twiga-rest.ru,,,,https://vk.com/karaoke_bar21,https://wa.me/79110272121,,,viber://chat/?number=79110272121,,,,,,59.856947,30.365949,https://2gis.com/firm/70000001045308492
Mundshtuk,центр паровых коктейлей,Центры паровых коктейлей; Бары; Рестораны; Караоке-залы,"Большая Зеленина, 24",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-03:00,+03:00,4.2,52,88129009005,,,,,,,,,,https://wa.me/79219009005,,,,,,,,,59.96362,30.287313,https://2gis.com/firm/70000001035777976
Del Mar,ресторан,Рестораны; Доставка готовых блюд; Бары; Караоке-залы,"Невский проспект, 52",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-06:00; Вт: 09:00-06:00; Ср: 09:00-06:00; Чт: 09:00-06:00; Пт: 09:00-06:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.9,417,88129037701,,,help@delmar-group.ru,,http://www.delmar-spb.ru,,,,https://vk.com/delmar_official,,,,,,,,,,59.934449,30.335513,https://2gis.com/firm/70000001020223016
Банщики,ресторан русской кухни,Рестораны; Доставка готовых блюд; Банкетные залы,"Дегтярная, 1а",1 этаж,191024,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.8,302,89219411744,88129411744,,manager@banshiki.spb.ru,,http://www.banshiki.spb.ru,,,,https://vk.com/infobanshiki,https://wa.me/79219411744,,,,,,,,,59.930382,30.370049,https://2gis.com/firm/70000001027285643
Berloga bar,уютный гастробар,Бары; Рестораны,"улица Куйбышева, 8",1 этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-24:00; Вт: 13:00-24:00; Ср: 13:00-24:00; Чт: 13:00-24:00; Пт: 13:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+03:00,4.9,63,89119740000,,,b_berloga@mail.ru,,http://vk.link/barberlogaspb,,,,https://vk.com/barberlogaspb,https://wa.me/79119740000,,,,,https://t.me/berloga_gastrobar,,,,59.954601,30.326215,https://2gis.com/firm/70000001060534652
Meat Стейк Хаус,ресторан,Рестораны; Бары,"набережная канала Грибоедова, 27",цокольный этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.7,106,88122235407,,,meat.bar@mail.ru,,http://meatsteakhouse.ru,,,,https://vk.com/meatsteakhouse,https://wa.me/79819432623,,,,,,,,,59.932441,30.324686,https://2gis.com/firm/70000001024988070
Tootsie,мясной ресторан,Рестораны; Бары; Кафе; Доставка готовых блюд,"9-я линия В.О., 30",1 этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.8,196,89626860011,,,team@tootsie.rest,,http://tootsie.rest,http://delivery.tootsie.rest,,,https://vk.com/tootsierest,,,,,,,,,,59.94073,30.27771,https://2gis.com/firm/70000001039117611
Nem Nem,ресторан Юго-Восточной Азии,Рестораны; Кафе,"1-я линия В.О., 36",1 этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.2,119,89657773838,,,restaurant.nemnem57@gmail.com,,http://nemnem.ru,,,,,https://wa.me/79657773838,,,viber://chat/?number=79657773838,,,,,,59.944031,30.287387,https://2gis.com/firm/70000001037972049
Ворон и ворон,шаманский бар,Бары; Рестораны; Доставка готовых блюд,"набережная канала Грибоедова, 38",цокольный этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-02:00,+03:00,4.7,114,89312238261,,,voronivoronbar@gmail.com,,,,,,https://vk.com/voronivoron,,,,,,https://t.me/voronivoron,https://t.me/voronivoron_tg,,,59.930786,30.321036,https://2gis.com/firm/70000001065998222
Сплетни бар by Anna Asti,,Рестораны; Бары; Караоке-залы; Ночные клубы,"Конюшенная площадь, 2 лит Г",1 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-05:00; Вт: 12:00-05:00; Ср: 12:00-05:00; Чт: 12:00-05:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00,+03:00,4.5,319,88126152402,,,marketing@spletni.bar,,http://spletni.bar,,,,https://vk.com/spletnibar.piter,,,,,,,,,,59.940857,30.325654,https://2gis.com/firm/70000001067723790
Ketch up,ресторан,Бары; Доставка готовых блюд; Рестораны,"улица Льва Толстого, 1/3","1, 2 этаж",197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,266,88129991304,,,info@ketch-up.ru,,http://ketch-up.ru,,,,https://vk.com/ketchup_spb,,,,,,,,,,59.965497,30.312756,https://2gis.com/firm/70000001019584802
Holy Molly Pub,пивной паб,Бары; Рестораны,"проспект Славы, 40 к1",1 этаж,192238,Муниципальный округ №72,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-23:00,+03:00,4.6,55,88123616097,,,holymollypub@yandex.ru,,info2gis.tilda.ws/proxy18?target=https://holymolly.ru/&back=https://go.2gis.com/2472v&mode=0,,,,,,,,,,,,,https://youtube.com/channel/UC17KqPqBuw0HYx0Ibm3TQwQ,59.861452,30.399384,https://2gis.com/firm/5348552840698349
Tandoor,ресторан индийской кухни,Рестораны; Доставка готовых блюд,"Адмиралтейский проспект, 10",цокольный этаж,190031,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.7,175,88123123886,88123125310,89219871900,mail@mytandoor.ru,,http://mytandoor.ru,,,,,https://wa.me/79219871900,,,,,,,,,59.935772,30.308755,https://2gis.com/firm/5348552838481024
Балкан,ресторан,Рестораны; Доставка готовых блюд; Кафе,"улица Куйбышева, 26 к2",1-2 этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.8,365,89217959115,,,info@balkanresto.ru,,http://balkanresto.ru,,,,https://vk.com/balkanresto,https://wa.me/79217959115,,,viber://chat/?number=79217959115,,https://t.me/+79217959115,,,,59.956718,30.329893,https://2gis.com/firm/70000001041179793
Пенаты на Гороховой,ресторан-кафе,Рестораны; Кафе; Доставка готовых блюд,"Гороховая, 32",цокольный этаж; желтая неоновая вывеска Вегетарианское заведение,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,43,89893498986,,,,,http://penatynagorohovoj.clients.site,,,,https://vk.com/penaty_na_gorohovoy,https://wa.me/79893498986,,,,,https://t.me/+79893498986,,,,59.929577,30.320612,https://2gis.com/firm/70000001066698251
Come Mode cafe,ресторан лаконичной кухни,Рестораны; Банкетные залы; Доставка готовых блюд; Кейтеринг,"Парадная, 3 к2",1 этаж,191014,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,5.0,22,88126406049,,,dekantwine@gmail.com,,http://comemodecafe.ru,,,,,,,,,,https://t.me/comemodecafe,,,,59.942066,30.369203,https://2gis.com/firm/70000001036545053
Mad Asian bbq,ресторан,Рестораны; Бары; Доставка готовых блюд,"улица Пионерская, 32",1 этаж,197198,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,5.0,13,89214491665,,,madasianbbq@gmail.com,,http://madasianbbq.ru,,,,,https://wa.me/79214491665,,,,,,,,,59.960502,30.282224,https://2gis.com/firm/70000001065141325
Smokey bones,паб-барбекю,Бары; Рестораны; Доставка готовых блюд,"Московский проспект, 204",1 этаж,196135,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.9,76,88129074947,,,smokeybones204@gmail.com,,http://smokeybones.ru,,,,https://vk.com/smokeybones,,,,,,https://t.me/smokey_bones,,,,59.858766,30.321582,https://2gis.com/firm/70000001032124570
Tone,ресторан,Рестораны; Доставка готовых блюд,"Московский проспект, 62",1 этаж,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.4,47,88123160422,,,admin@tonespb.ru,,http://tonespb.ru,,,,,,,,,,,,,,59.908013,30.318807,https://2gis.com/firm/5348553838601880
Mama Roma,,Рестораны; Доставка готовых блюд,"Невский проспект, 63",1-3 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+03:00,4.4,553,88125646416,,,portal@mamaroma.ru,,http://mamaroma.ru,,,,https://vk.com/mamaroma_official,https://wa.me/79650996754,,,,,,,,,59.93186,30.35299,https://2gis.com/firm/5348552840817595
O! Cuba,кубинский ресторан,Рестораны; Банкетные залы,"Рубинштейна, 36",цокольный этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 12:00-23:00,+03:00,4.6,178,88123128892,89110224025,,o.cuba@mail.ru,,http://www.o-cuba.ru,,,,,https://wa.me/79110224025,,,viber://chat/?number=78123128892,,,,,,59.927945,30.343519,https://2gis.com/firm/5348552838570397
Наследники,ресторан-бар,Рестораны; Бары,"Каменноостровский проспект, 11 лит А",1 этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-23:00,+03:00,4.1,31,88129558800,,,naslednikirest@gmail.com,,,,,,https://vk.com/nasledniki.rest,https://wa.me/79215942250,,,,,https://t.me/nasledniki_ru,,,,59.958596,30.318757,https://2gis.com/firm/70000001065338267
Faces cafe,ресторан,Рестораны,"Морской проспект, 29 лит А",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,4.5,14,89316372929,,,,,http://facesrestspb.com/,,,,,https://wa.me/79316372929,,,,,,,,,59.971852,30.2633,https://2gis.com/firm/70000001063810892
Кэтино,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"9-я линия В.О., 20",1 этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Вт: 14:00-23:00; Ср: 14:00-23:00; Чт: 14:00-23:00; Пт: 14:00-23:00; Сб: 14:00-23:00; Вс: 14:00-23:00,+03:00,4.8,62,89219388061,89657990451,,ketinorest@gmail.com,,http://ketino.ru,,,,https://vk.com/ketinorest,https://wa.me/79657990451,https://wa.me/79219388061,,,,https://t.me/+79219388061,https://t.me/+79657990451,,,59.939678,30.278936,https://2gis.com/firm/5348552838773006
