Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Строителей, 7",1 этаж,188691,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,44,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.917345,30.522039,https://2gis.com/firm/70000001058978492
Росал,супермаркет напитков,Алкогольные напитки; Супермаркеты; Магазины разливного пива,"2-я Советская улица, 23",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,5,88127401155 (единая справочная: пн-пт 10:00-18:00),,,,,http://rosal24.ru,,,,https://vk.com/rosal24_spb,,,,,,https://t.me/RosAl_Admin_bot,,,,,59.931278,30.369326,https://2gis.com/firm/70000001017392224
Светофор,магазин низких цен,Супермаркеты,"Минеральная, 23",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.7,19,88124545226,,,,,http://spb-mineralnaya.svetoforonline.ru,,,,https://vk.com/club198376122,,,,,,,,,,,59.96571,30.367927,https://2gis.com/firm/70000001046122694
ВкусВилл,магазин с доставкой полезных продуктов,Супермаркеты; Доставка продуктов / хозтоваров; Доставка готовых блюд,"Колокольная, 15/21",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.1,25,89215774914,84956638602 (горячая линия: пн-вс 9:00-21:00),,info@izbenka.msk.ru,,http://spb.vkusvill.ru/?utm_campaign=2gis_maps&utm_content=glavnaya&utm_medium=spravochnik&utm_source=2gis,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://youtube.com/channel/UC8f84TEqxTcS6LGv9Lbi8uw,,59.928117,30.353032,https://2gis.com/firm/70000001038072779
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Пионерская, 21",1 этаж,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-23:00; Вт: 00:00-23:00; Ср: 00:00-23:00; Чт: 00:00-23:00; Пт: 00:00-23:00; Сб: 00:00-23:00; Вс: 00:00-23:00,+03:00,3.9,38,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.957788,30.290394,https://2gis.com/firm/5348552838658633
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Садовая, 8",цокольный этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.1,41,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.936929,30.336421,https://2gis.com/firm/70000001017406762
Ашан Сити,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Седова, 11 лит А",1 этаж,192019,Невская застава,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,2.2,31,88007005800 (единая справочная: круглосуточно),,,,,http://auchan.ru,,,,https://vk.com/auchan,,,,,,https://t.me/auchanrusbot,,,,,59.899577,30.401775,https://2gis.com/firm/5348552839378499
Росал,супермаркет напитков,Алкогольные напитки; Магазины разливного пива; Супермаркеты,"Кузнечный переулок, 16",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.5,7,88127401155 (единая справочная: пн-пт 10:00-18:00),,,,,http://rosal24.ru,,,,https://vk.com/rosal24_spb,,,,,,https://t.me/RosAl_Admin_bot,,,,,59.927006,30.355352,https://2gis.com/firm/70000001060564390
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"набережная Обводного канала, 118 лит С",цокольный этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.7,11,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.908081,30.307415,https://2gis.com/firm/70000001062600372
Пятёрочка,супермаркет,Супермаркеты,"Гражданская, 28",,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.8,6,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.926805,30.308789,https://2gis.com/firm/70000001074878024
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Московский проспект, 111",1 этаж,196006,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,58,88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),,,,,http://av.ru/?utm_campaign=SPB&utm_medium=map&utm_source=2gis,,,https://twitter.com/azbukavkusa,https://vk.com/azbukavkusa,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/user/azbukav,,59.889007,30.318923,https://2gis.com/firm/5348553838988454
Светофор,магазин низких цен,Супермаркеты; Доставка продуктов / хозтоваров,"Ленинский проспект, 144 к2",1 этаж,198216,Княжево,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.1,10,,,,,,http://svetoforspb.ru,,,,,,,,,,,,,,,59.852251,30.287175,https://2gis.com/firm/70000001066380710
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Суворовский проспект, 10",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,1.6,33,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.9337,30.369398,https://2gis.com/firm/70000001021379774
Панда,магазин товаров Юго-Восточной Азии,Супермаркеты; Доставка продуктов / хозтоваров,"Лиговский проспект, 174",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.9,14,88127129801,89990678899,,,,http://pandaproducts.ru,,,,,,,,,,,,,,,59.910814,30.348682,https://2gis.com/firm/70000001059981917
О`Кей,гипермаркет,Гипермаркеты,"улица Руставели, 43 лит А",1 этаж,195273,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.6,20,88124495157,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,60.017311,30.434631,https://2gis.com/firm/70000001043749226
Магнит,супермаркет,Супермаркеты,"Загородный проспект, 1",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:15-23:45; Вт: 00:15-23:45; Ср: 00:15-23:45; Чт: 00:15-23:45; Пт: 00:15-23:45; Сб: 00:15-23:45; Вс: 00:15-23:45,+03:00,2.7,17,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.927915,30.346483,https://2gis.com/firm/70000001064869968
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Савушкина, 119 к3 лит А",1 этаж,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.8,26,88127037004,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.989093,30.225235,https://2gis.com/firm/5348552838577231
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Нахимова, 5 к1",1 этаж,199397,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,69,88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),,,,,http://av.ru/?utm_campaign=SPB&utm_medium=map&utm_source=2gis,,,https://twitter.com/azbukavkusa,https://vk.com/azbukavkusa,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/user/azbukav,,59.941963,30.225635,https://2gis.com/firm/5348553838988449
Веганбункер,магазин продуктов для веганов,Продуктовые магазины,"Поварской переулок, 12",цокольный этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,4.5,45,88129204313,,,,,http://veganbunker.ru,,,,https://vk.com/veganbunker,,,,,,,,,,,59.929276,30.352445,https://2gis.com/firm/70000001020329296
Eurospar,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"проспект Чернышевского, 4 лит А",1 этаж,191123,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:59; Вт: 07:00-23:59; Ср: 07:00-23:59; Чт: 07:00-23:59; Пт: 07:00-23:59; Сб: 07:00-23:59; Вс: 07:00-23:59,+03:00,3.1,49,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,http://myspar.ru,,,,https://vk.com/spar.russia,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,59.948458,30.359802,https://2gis.com/firm/70000001047029930
Светофор,магазин низких цен,Супермаркеты,"улица Большая Пороховская, 47",,195248,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,5.0,2,,,,,,http://svetoforspb.ru,,,,,,,,,,,,,,,59.952843,30.431311,https://2gis.com/firm/70000001069191578
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"3-я Советская улица, 7",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,3.1,7,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.931803,30.368843,https://2gis.com/firm/70000001038471350
Мини Лента,супермаркет,Продуктовые магазины,"Финляндский проспект, 4 лит А",,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.1,19,88007004111 (горячая линия: круглосуточно),88123854111 (горячая линия: круглосуточно),,,,http://mini.lenta.com,http://lenta.com,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.957803,30.342518,https://2gis.com/firm/70000001063141734
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"Столярный переулок, 16",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,4.1,5,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.927078,30.313948,https://2gis.com/firm/70000001057686379
Семишагофф,супермаркет,Супермаркеты,"Гороховая, 32",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.2,13,88126485000 (горячая линия: пн-вс 9:00-21:00),,,,,http://semishagoff.org,,,,https://vk.com/7shagoff,,,,,,https://t.me/semishagoff_7,,,,,59.930135,30.322329,https://2gis.com/firm/70000001047276503
Супер Лента,супермаркет,Супермаркеты,"Чкаловский проспект, 50",,197136,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.4,22,88123854111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.967315,30.299462,https://2gis.com/firm/70000001058977775
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Большой проспект П.С., 58",1 этаж,197136,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.3,26,88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),,,,,http://av.ru/?utm_campaign=SPB&utm_medium=map&utm_source=2gis,,,https://twitter.com/azbukavkusa,https://vk.com/azbukavkusa,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/user/azbukav,,59.961108,30.303542,https://2gis.com/firm/70000001006420872
Энкель,магазин,Постельные принадлежности / Текстиль для дома; Пластиковая мебель; Корпусная мебель; Детская мебель; Мягкая мебель,"улица Торжковская, 20 лит А",15-Н помещение; 1 этаж,197343,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,3.5,13,89039695759,,,,,http://api.whatsapp.com/send/?phone=79687504813&text&type=phone_number&app_absent=0,http://enkelshop.ru/?utm_source=2gis&utm_medium=maps&utm_campaign=main,,,https://vk.com/enkelshop,https://wa.me/79687504813,,,,,,,,,,59.991169,30.315054,https://2gis.com/firm/70000001066107894
Светофор,магазин низких цен,Супермаркеты,"улица Двинская, 14а лит А",1 этаж,198035,Морские ворота,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.3,8,,,,,,http://svetoforspb.ru,,,,,,,,,,,,,,,59.908412,30.24455,https://2gis.com/firm/70000001057218095
Семишагофф,супермаркет,Супермаркеты,"Ораниенбаумская, 29",1 этаж,197110,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.2,13,88126485000 (горячая линия: пн-вс 9:00-21:00),,,,,http://semishagoff.org,,,,https://vk.com/7shagoff,,,,,,https://t.me/semishagoff_7,,,,,59.962313,30.293797,https://2gis.com/firm/70000001052508725
ВкусВилл,магазин с доставкой полезных продуктов,Супермаркеты; Доставка продуктов / хозтоваров; Доставка готовых блюд,"Лиговский проспект, 41",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.2,10,89291164085,84956638602 (горячая линия: пн-вс 9:00-21:00),,info@izbenka.msk.ru,,http://spb.vkusvill.ru/?utm_campaign=2gis_maps&utm_content=glavnaya&utm_medium=spravochnik&utm_source=2gis,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://youtube.com/channel/UC8f84TEqxTcS6LGv9Lbi8uw,,59.930967,30.360129,https://2gis.com/firm/70000001075069350
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Малая Монетная, 2 лит Г",1 этаж,197101,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.9,40,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.959125,30.319442,https://2gis.com/firm/70000001021628279
Супер Лента,супермаркет,Супермаркеты,"улица Новгородская, 23",1 этаж,191124,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 06:00-02:00; Вт: 06:00-02:00; Ср: 06:00-02:00; Чт: 06:00-02:00; Пт: 06:00-02:00; Сб: 06:00-02:00; Вс: 06:00-02:00,+03:00,2.8,14,88123854111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.94093,30.390432,https://2gis.com/firm/70000001058977674
Жизньмарт,магазин хорошей еды,Супермаркеты; Доставка продуктов / хозтоваров; Доставка готовых блюд,"Щербаков переулок, 17/3 лит А",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.3,7,89310055011 (магазин),,,,,http://lifemart.ru,,,,https://vk.com/lifemart_ru,,,,,,,,,,,59.92759,30.345691,https://2gis.com/firm/70000001069174340
Росал,супермаркет напитков,Алкогольные напитки; Супермаркеты,"улица Марата, 54/34",цокольный этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.5,13,88127401155 (единая справочная: пн-пт 10:00-18:00),,,,,http://rosal24.ru,,,,https://vk.com/rosal24_spb,,,,,,https://t.me/RosAl_Admin_bot,,,,,59.922697,30.35066,https://2gis.com/firm/70000001037693460
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Аптекарский проспект, 18",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,2.2,41,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.975017,30.317632,https://2gis.com/firm/70000001025214774
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Пушкинская улица, 20",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,71,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.92707,30.356004,https://2gis.com/firm/5348552840169769
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Фучика, 2 лит А",1 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,2.6,40,88123854194,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.878361,30.356769,https://2gis.com/firm/5348552841010739
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Симонова, 13 к2 лит А",1 этаж,194358,Шувалово-Озерки,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,33,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,60.061245,30.329018,https://2gis.com/firm/70000001058978087
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"улица Садовая, 32/1 лит А",цокольный этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:55-22:05; Вт: 07:55-22:05; Ср: 07:55-22:05; Чт: 07:55-22:05; Пт: 07:55-22:05; Сб: 07:55-22:05; Вс: 07:55-22:05,+03:00,2.6,15,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.928948,30.324737,https://2gis.com/firm/70000001045010022
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"проспект Просвещения, 60 к1",1 этаж,194352,Муниципальный округ №15,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.2,22,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,60.047371,30.365701,https://2gis.com/firm/70000001050269209
