Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Перемена coffee,кофейня,Кофейни,"Комиссара Смирнова, 7",1 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.2,25,89211851001,,,,,,,,,https://wa.me/79211851001,,,,,,,,59.962654,30.351006,https://2gis.com/firm/70000001047691132
La republique,кафе-бар,Кофейни; Алкогольные напитки; Кафе,"Галерная, 42",1 этаж,190121,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00,+03:00,4.4,30,,,,,,,,,,,,,,,,,,59.931321,30.287788,https://2gis.com/firm/70000001056256674
Britishbro coffee,кофейня,Кофейни; Доставка готовых блюд,"Невский проспект, 173",цокольный этаж,191167,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.5,63,89219251214 (единый номер: круглосуточно),,,,,http://britishbro.ru,,,https://vk.com/british_bro_coffee,,,,,,,,,59.92435,30.3826,https://2gis.com/firm/70000001053752305
Etlon coffee,сеть кофе-баров,Кофейни,"улица Льва Толстого, 9",2 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 09:30-22:30,+03:00,3.8,11,89992367777 (единая справочная: пн-вс 10:00-22:00),,,admin@etloncoffee.ru,,http://etlon.ru,,,https://vk.com/etloncoffee,https://wa.me/79992367777,,,viber://chat/?number=79992367777,,https://t.me/etloncoffee,,https://youtube.com/channel/UC3jxN8ac9WTKn6pY6oXF0FQ,59.965318,30.31563,https://2gis.com/firm/70000001069301839
Волконский,кафе-пекарня,Кафе-кондитерские; Доставка готовых блюд; Кофейни; Кондитерские изделия; Пекарни,"набережная Адмирала Лазарева, 22 ст1",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.0,10,89111761994,,,,,http://wolkonsky.com,,,https://vk.com/wolkonskyspb,,,,,,,,,59.964464,30.277578,https://2gis.com/firm/70000001055064456
Пуд хлеба,пекарня-кондитерская,Кондитерские изделия; Кофейни; Пекарни; Кафе-кондитерские,"Большая Зеленина, 24",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.3,30,88124073741 (единый номер: пн-вс 8:00-22:00),,,,,http://www.pudhleba.ru,,,,,,,,,,,,59.963738,30.287015,https://2gis.com/firm/70000001040929455
Любовь и кофе,кофейня,Кофейни; Доставка готовых блюд,"Большой Сампсониевский проспект, 29а",1 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+03:00,4.0,21,,,,,,,,,,,,,,,,,,59.966185,30.343166,https://2gis.com/firm/70000001032613208
Marivanna_ya,,Кофейни; Кондитерские изделия,"Лиговский проспект, 271",27н помещение; 1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,3.2,5,89117518336,,,,,,,,https://vk.com/marivanna_ya,https://wa.me/79117518336,,,,,,,,59.906441,30.339666,https://2gis.com/firm/70000001066140784
Baggins Coffee,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Караванная, 2",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,33,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.937585,30.341741,https://2gis.com/firm/70000001051387488
Baggins Coffee,кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"улица Садовая, 60",1 этаж,190068,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,25,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.921604,30.303938,https://2gis.com/firm/70000001048371908
Panda,кофейня,Кофейни; Кафе,"Конюшенная площадь, 2 лит В",52 помещение; 3 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,2.3,4,89213267179,,,,,,,,,,,,,,,,,59.9401,30.325398,https://2gis.com/firm/70000001066630559
Сова,кофейня,Кофейни; Доставка готовых блюд; Кондитерские изделия; Продукты быстрого приготовления,"Смольный проспект, 17 ст1",1 этаж,191124,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,3.8,39,89990427682,,,,,http://sova.rest,,,https://vk.com/sova.restspb,https://wa.me/79990427682,,,,,,,,59.943749,30.396768,https://2gis.com/firm/70000001038222135
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кондитерские изделия; Кофейни; Пекарни,"улица Комсомола, 35",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.3,8,88126409506,88123808491,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.954934,30.358467,https://2gis.com/firm/5348552838577636
КофеБон,сеть кофеен,Кофейни; Кондитерские изделия; Пекарни; Продажа чая,"Большой проспект В.О., 64",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 09:00-21:00,+03:00,4.9,47,88123099510 (единый номер: пн-пт 10:00-20:00),,,marketing@coffeebon.ru,,http://coffeebon.ru,,,https://vk.com/coffee_bon,,,,,,https://t.me/coffe_bon,,,59.932706,30.2639,https://2gis.com/firm/70000001033367459
Proekt coffee,кофейня,Кофейни,"Казанская, 35",цокольный этаж,190031,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,3.9,10,89213904000,,,,,http://t.me/proektcoffee1,,,,,,,,,https://t.me/+vNhkavQvDklmNDI6,,,59.92905,30.311314,https://2gis.com/firm/70000001066668111
КофеБон,сеть кофеен,Кофейни; Доставка готовых блюд; Продажа кофе; Продажа чая,"Стахановцев, 10 к3",1 этаж,195196,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 09:00-21:00,+03:00,4.6,109,88123099510 (единый номер: пн-пт 10:00-20:00),,,marketing@coffeebon.ru,,http://coffeebon.ru,,,https://vk.com/coffee_bon,,,,,,https://t.me/coffe_bon,,,59.926835,30.408356,https://2gis.com/firm/70000001019691904
Baggins Coffee,кофейня,Кофейни; Доставка готовых блюд; Продажа кофе; Кондитерские изделия,"улица Декабристов, 43-45",1 этаж,190121,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,6,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.924587,30.286835,https://2gis.com/firm/70000001061150968
Etlon coffee,сеть кофе-баров,Кофейни,"улица Комсомола, 16",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-20:30; Вт: 07:30-20:30; Ср: 07:30-20:30; Чт: 07:30-20:30; Пт: 07:30-20:30; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.5,17,89992367777 (единая справочная: пн-вс 10:00-22:00),,,admin@etloncoffee.ru,,http://etlon.ru,,,https://vk.com/etloncoffee,https://wa.me/79992367777,,,viber://chat/?number=79992367777,,https://t.me/etloncoffee,,https://youtube.com/channel/UC3jxN8ac9WTKn6pY6oXF0FQ,59.954269,30.356931,https://2gis.com/firm/70000001035354066
LavEat,кафе-магазин,Кофейни; Доставка готовых блюд; Мука / Крупы; Молочные продукты; Продажа кофе,"Петровский проспект, 24 к1 ст1",1 этаж,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,6,89602552424,,,,,,,,,https://wa.me/79602552424,,,,,https://t.me/laveat,,,59.961009,30.258703,https://2gis.com/firm/70000001059422655
Baggins Coffee,кофейня,Кофейни; Продажа кофе,"улица Академика Лебедева, 37в киоск",,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-19:00; Вс: 09:00-19:00,+03:00,4.8,19,89313208331,,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.959404,30.353967,https://2gis.com/firm/70000001038173959
Cow coffee,кофейня,Кофейни; Продажа кофе,"Боровая, 24",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,5.0,14,89955989828,,,,,,,,,https://wa.me/79955989828,,,,,,,,59.919783,30.347236,https://2gis.com/firm/70000001061441753
Baggins Coffee,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Невский проспект, 136",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,9,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.92981,30.368401,https://2gis.com/firm/70000001067223459
Baggins Coffee,кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"Разъезжая, 41",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.1,36,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.921692,30.352253,https://2gis.com/firm/70000001038301908
Мишка bakery,пекарня,Кофейни; Пекарни; Кафе-кондитерские,"Аптекарский проспект, 18",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.0,31,89633115545,,,,,,,,https://vk.com/mishka_bakery,,,,,,,,,59.974362,30.318509,https://2gis.com/firm/70000001044315448
Тут и Там,,Кофейни,"Малый проспект П.С., 1",1 этаж,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.1,34,,,,,,,,,,,,,,,,,,59.953131,30.288993,https://2gis.com/firm/70000001051273288
Native,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Грибалёвой, 7 к1 ст1",1 этаж,194100,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 09:00-21:30; Вс: 09:00-21:30,+03:00,4.6,38,89629396428,,,,,,,,,https://wa.me/79629396428,,,,,https://t.me/native_lesnaya,,,59.982913,30.355369,https://2gis.com/firm/70000001047099428
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кофейни; Кондитерские изделия; Хлебобулочные изделия,"Лесной проспект, 7/5",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.7,3,88123327237,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.962872,30.352101,https://2gis.com/firm/70000001075165344
Вкусно — и точка,кафе,Кофейни,"Заневский проспект, 71 к2",2 этаж,195112,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,2.5,6,,,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itochka,,,,,,https://t.me/vit_russia,,,59.932958,30.440076,https://2gis.com/firm/70000001034001767
Mokoko,авторская кофейня,Кофейни,"Лиговский проспект, 232 ст1",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,10,89215617099,,,,,http://mokoko.ru,,,https://vk.com/mokoko,https://wa.me/79006444781,,,,,https://t.me/mokokocoffee,,,59.906463,30.34546,https://2gis.com/firm/70000001069036225
La mie,пекарня,Пекарни; Кафе-кондитерские; Кофейни,"улица Пестеля, 13-15",1 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.9,43,89219570923,,,,,,,,,,,,,,,,,59.942507,30.343019,https://2gis.com/firm/70000001040665077
La table,кофейня,Кофейни,"Инструментальная, 8",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+03:00,4.7,3,89818944904,,,,,,,,,https://wa.me/79818944904,,,,,,,,59.974588,30.321365,https://2gis.com/firm/70000001069359539
Ленинградские булочные,пекарня,Пекарни; Кондитерские изделия; Доставка готовых блюд; Кофейни,"Средний проспект В.О., 19",1 этаж,199004,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.0,29,88129836503 (единая справочная - пн-пт 8:00-22:00),,,,,http://lenb.ru,,,,https://wa.me/79602836503,,,viber://chat/?number=79602836503,,,,,59.94428,30.281924,https://2gis.com/firm/70000001033410906
Baggins Coffee,кофейня,Кофейни; Продажа кофе,"Загородный проспект, 11",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:15-20:30; Вт: 08:15-20:30; Ср: 08:15-20:30; Чт: 08:15-20:30; Пт: 08:15-20:30; Сб: 08:15-20:30; Вс: 09:00-20:30,+03:00,4.8,18,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.926536,30.343008,https://2gis.com/firm/70000001040467789
Тёплого хлеба,пекарня,Кондитерские изделия; Пекарни; Доставка готовых блюд; Кофейни,"Московский проспект, 73 к5",1 этаж,196084,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-20:30; Вт: 08:30-20:30; Ср: 08:30-20:30; Чт: 08:30-20:30; Пт: 08:30-20:30; Сб: 08:30-20:30; Вс: 08:30-20:30,+03:00,3.4,33,88126405151,,,,,http://bushe.ru,,,https://vk.com/warmbreadinbed,,,,,,,,,59.904511,30.314919,https://2gis.com/firm/70000001040485551
Baggins Coffee,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"улица Захарьевская, 14 лит В",1 этаж,191123,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.9,11,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.947894,30.357868,https://2gis.com/firm/70000001036739697
Coffee Garden,кофейня,Кофейни; Кондитерские изделия,"Караванная, 1 лит А",1 этаж; супермаркет Пятëрочка,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,4.2,21,89627119898,,,,,,,,,https://wa.me/79627119898,,,,,,,,59.93677,30.340781,https://2gis.com/firm/70000001031638874
Булки,пекарня-кондитерская,Пекарни; Кофейни,"Большой Сампсониевский проспект, 56",1 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.0,35,,,,,,,,,https://vk.com/bulki_spb,,,,,,,,,59.972531,30.339845,https://2gis.com/firm/70000001055388599
Волконский,кафе-пекарня,Кафе-кондитерские; Кофейни; Доставка готовых блюд,"Заозёрная, 3 к3 ст1",1 этаж; апарт-отель Artstudio Moskovsky,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-19:00; Вт: 07:30-19:00; Ср: 07:30-19:00; Чт: 07:30-19:00; Пт: 07:30-19:00; Сб: 07:30-19:00; Вс: 07:30-19:00,+03:00,3.0,2,89811762540,,,,,http://wolkonsky.com,,,https://vk.com/wolkonskyspb,,,,,,,,,59.906394,30.323035,https://2gis.com/firm/70000001066184263
Dobro coffee Microroasters,кофейня,Кофейни; Продажа кофе,"Лесной проспект, 6",1 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.3,17,89818619270,,,,,http://dobrocoffeemicroroasters.com,,,https://vk.com/dobrocoffee,,,,,,https://t.me/dobrocoffee,,,59.962698,30.35145,https://2gis.com/firm/70000001052974398
Okna,кафе,Кофейни,"набережная реки Фонтанки, 59",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-20:00,+03:00,4.3,16,,,,,,,,,,,,,,,,,,59.92774,30.332342,https://2gis.com/firm/70000001030362806
Time for coffee,мини-кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"Маркина, 18",1 этаж,197198,Введенский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.0,4,89117239000 (единый номер: пн-вс 8:00-22:00),,,,,,,,https://vk.com/time_forcoffee,,,,,,,,,59.957521,30.305122,https://2gis.com/firm/70000001068613177
Север-Метрополь,кафе-кондитерская,Доставка готовых блюд; Кофейни; Кондитерские изделия; Кафе-кондитерские; Пекарни,"Московский проспект, 74а",1 этаж,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,2.9,25,88124954528,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.906205,30.318828,https://2gis.com/firm/70000001038780119
Cup&Cake,кофейня,Кофейни; Кафе,"Казанская, 43",1 этаж,190031,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.2,15,,,,,,,,,,,,,,,,,,59.928441,30.30907,https://2gis.com/firm/70000001057239493
Тёплого хлеба,пекарня,Доставка готовых блюд; Кофейни; Пекарни,"проспект Медиков, 10 к1",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.4,25,88126405151,,,,,http://bushe.ru,,,https://vk.com/warmbreadinbed,,,,,,,,,59.975026,30.316684,https://2gis.com/firm/70000001040866348
Цех85,пекарня-кондитерская,Кондитерские изделия; Пекарни; Кафе-кондитерские; Доставка готовых блюд; Кофейни,"улица Савушкина, 11",1 этаж,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.6,28,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.985973,30.29503,https://2gis.com/firm/70000001038386852
Точка вкуса,кофейня-магазин чая и специй,Кофейни; Кондитерские изделия; Доставка готовых блюд; Специи / Пряности; Продажа чая,"Средний проспект В.О., 21",1 этаж,199004,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,5.0,10,89697372463 (единая справочная: пн-пт 10:00-20:00),,,,,http://tochkavkusa.shop,,,https://vk.com/tochkavkusa_spb,,,,,,,,,59.944172,30.281558,https://2gis.com/firm/70000001053915624
